0,0,1
12,10,10
11,25,10
10,30,10
9,60,10
8,70,10
7,85,10
6,100,10
5,115,10
4,130,10
3,145,10
2,170,10
1,175,10
0,190,10
25,10,30
24,25,30
23,35,30
22,40,30
21,70,30
20,85,30
19,100,30
18,115,30
17,130,30
16,145,30
15,170,30
14,175,30
13,190,30
38,10,50
37,25,50
36,40,50
35,45,50
34,75,50
33,85,50
32,100,50
31,115,50
30,130,50
29,145,50
28,170,50
27,175,50
26,190,50
51,10,70
50,25,70
49,40,70
48,50,70
47,55,70
46,85,70
45,100,70
44,115,70
43,130,70
42,145,70
41,170,70
40,175,70
39,190,70
64,10,90
63,25,90
62,40,90
61,55,90
60,60,90
59,90,90
58,100,90
57,115,90
56,130,90
55,145,90
54,170,90
53,175,90
52,190,90
77,10,110
76,25,110
75,40,110
74,55,110
73,65,110
72,95,110
71,100,110
70,115,110
69,130,110
68,145,110
67,170,110
66,175,110
65,190,110
