0,0,1
12,10,10
11,25,15
10,30,10
9,60,15
8,70,10
7,85,15
6,100,10
5,115,15
4,130,10
3,145,15
2,170,10
1,175,15
0,190,10
25,10,30
24,25,35
23,35,30
22,40,35
21,70,30
20,85,35
19,100,30
18,115,35
17,130,30
16,145,35
15,170,30
14,175,35
13,190,30
38,10,50
37,25,55
36,40,50
35,45,55
34,75,50
33,85,55
32,100,50
31,115,55
30,130,50
29,145,55
28,170,50
27,175,55
26,190,50
51,10,70
50,25,75
49,40,70
48,50,75
47,55,70
46,85,75
45,100,70
44,115,75
43,130,70
42,145,75
41,170,70
40,175,75
39,190,70
64,10,90
63,25,95
62,40,90
61,55,95
60,60,90
59,90,95
58,100,90
57,115,95
56,130,90
55,145,95
54,170,90
53,175,95
52,190,90
77,10,110
76,25,115
75,40,110
74,55,115
73,65,110
72,95,115
71,100,110
70,115,115
69,130,110
68,145,115
67,170,110
66,175,115
65,190,110
