3,1,625
3,2,641
3,3,636
3,5,652
3,6,625
3,7,663
3,8,614
3,9,652
3,10,603
3,11,668
3,12,625
3,13,668
3,14,625
3,15,625
3,16,603
3,17,630
3,18,614
3,19,625
3,20,630
3,21,603
3,22,614
3,24,641
3,25,663
3,26,614
3,27,614
3,28,657
3,29,679
3,31,668
3,32,603
3,33,657
3,35,663
3,36,625
3,37,614
3,38,614
3,40,614
3,41,641
3,43,663
3,44,619
3,45,630
3,46,636
3,47,641
3,48,614
3,49,668
3,50,641
3,52,652
3,60,652
3,61,636
3,62,614
3,63,630
3,64,663
3,65,625
3,66,614
3,67,625
3,68,641
3,69,614
3,70,614
3,71,641
3,72,625
3,73,625
3,74,609
3,75,614
3,76,614
3,77,641
3,78,668
3,79,663
3,80,668
3,82,630
3,83,663
3,85,614
3,86,636
3,87,652
3,88,679
3,90,679
3,91,614
3,92,619
