1,167,783
1,12,598
1,15,429
1,16,478
1,17,473
2,12,1587
2,13,810
2,15,755
2,16,750
2,17,788
3,13,1120
3,15,587
3,16,630
3,17,630
3,20,609
4,15,810
4,16,810
4,17,848
4,20,804
4,21,848
1,20,467
1,21,424
1,23,429
1,25,435
1,26,418
2,20,739
2,21,783
2,23,744
2,25,755
2,26,772
3,21,636
3,23,609
3,25,598
3,26,630
3,29,598
4,23,848
4,25,810
4,26,848
4,29,821
4,31,859
2,29,755
2,31,734
2,32,788
2,33,788
2,34,772
1,29,440
1,31,435
1,32,473
1,33,435
1,34,413
3,31,570
3,32,609
3,33,570
3,34,570
3,35,587
4,32,859
4,33,810
4,34,864
4,35,842
4,36,810
2,35,728
2,36,723
2,38,706
2,40,685
2,41,696
1,35,429
1,36,407
1,38,413
1,40,402
1,41,456
3,36,592
3,38,581
3,40,598
3,41,565
3,42,603
4,38,821
4,40,772
4,41,793
4,42,810
4,43,793
2,42,712
2,43,712
2,45,674
2,46,679
2,47,690
1,42,445
1,43,467
1,45,407
1,46,451
1,47,413
3,43,609
3,45,619
3,46,609
3,47,581
3,48,609
2,48,696
2,49,652
2,50,630
2,53,636
2,56,647
1,48,440
1,49,467
1,50,429
1,53,435
1,56,396
3,49,598
3,50,565
3,53,570
3,56,565
3,57,576
4,50,728
4,53,744
4,56,761
4,57,723
4,58,685
2,57,636
2,58,609
2,60,625
2,62,554
2,63,554
3,58,565
3,60,598
3,62,570
3,63,614
3,64,603
4,60,712
4,62,701
4,63,674
4,64,690
4,67,625
1,64,483
1,67,511
1,68,500
1,69,494
1,71,478
2,64,543
2,67,560
2,68,516
2,69,489
2,73,522
3,67,625
3,68,614
3,69,647
3,71,625
3,73,625
1,73,489
1,74,511
1,75,516
1,76,467
1,78,483
2,74,522
2,75,505
2,76,516
2,78,483
2,79,505
3,74,619
3,75,609
3,76,592
3,78,609
3,79,592
4,75,674
4,76,647
4,78,663
4,79,630
4,80,647
1,79,500
1,80,505
1,81,532
1,82,505
1,83,489
3,80,598
3,81,636
3,82,636
3,83,636
3,84,652
2,80,516
2,81,494
2,82,532
2,83,532
2,84,549
4,81,647
4,82,647
4,83,674
4,84,685
4,85,663
1,84,505
1,85,538
1,86,511
1,87,554
1,88,527
3,85,657
3,86,625
3,87,647
3,88,614
3,89,647
2,85,532
2,86,527
2,87,473
2,88,489
2,89,500
4,86,619
4,87,641
4,88,614
4,89,663
4,91,603
1,89,543
1,90,527
1,91,549
1,93,554
1,96,619
3,91,696
3,93,674
3,96,706
3,97,685
3,98,723
2,91,505
2,93,462
2,96,435
2,97,418
2,98,467
4,93,641
4,96,614
4,97,603
4,98,570
4,99,581
1,97,625
1,98,641
1,99,598
1,102,636
1,104,663
2,99,429
2,102,445
2,104,407
2,105,407
2,106,396
3,99,717
3,102,701
3,104,712
3,105,706
3,106,750
4,104,581
4,105,581
4,106,592
4,108,619
4,109,560
1,105,663
1,106,652
1,108,717
1,109,685
1,112,739
2,108,413
2,109,435
2,112,386
2,113,435
2,114,429
3,108,744
3,109,804
3,111,772
3,113,772
3,114,804
4,112,598
4,113,614
4,114,609
4,115,592
4,117,592
1,113,744
1,114,772
1,115,755
1,117,734
1,118,744
2,115,429
2,117,413
2,118,440
2,121,429
2,122,424
3,115,788
3,117,810
3,118,804
3,121,810
3,122,831
4,118,647
4,121,576
4,122,647
4,123,630
4,124,614
1,121,793
1,122,793
1,124,766
1,125,815
1,126,815
