4,1,1016
4,2,1038
4,3,1044
4,4,1033
4,5,1016
3,1,864
3,2,837
3,3,870
3,4,875
3,5,821
2,2,750
2,3,744
2,4,744
2,5,783
2,7,777
1,4,402
1,5,396
1,7,391
1,9,402
1,10,375
4,7,1060
4,9,1005
4,10,1027
4,14,1033
4,15,1049
3,7,870
3,9,831
3,10,831
3,14,870
3,15,837
2,9,744
2,10,717
2,14,755
2,15,723
2,17,739
1,13,391
1,15,396
1,17,391
1,18,380
1,19,342
4,17,1033
4,18,995
4,19,951
4,20,1000
4,21,935
3,17,837
3,18,788
3,19,821
3,20,831
3,21,799
2,18,2104
2,19,788
2,20,728
2,21,766
2,23,875
1,20,348
1,21,391
1,23,380
1,25,369
1,26,326
4,23,940
4,25,908
4,26,940
4,27,940
4,30,946
3,23,772
3,25,777
3,26,755
3,27,728
3,30,755
2,25,810
2,26,734
2,27,783
2,30,750
2,31,772
1,27,309
1,30,364
1,31,348
1,32,386
1,33,402
3,31,696
3,32,685
3,33,685
3,34,701
3,36,652
4,31,940
4,32,902
4,33,875
4,34,924
4,36,864
1,34,375
1,36,380
1,38,435
1,39,418
1,40,445
4,38,837
4,39,837
4,40,875
4,42,815
4,43,864
3,38,603
3,39,657
3,40,641
3,42,581
3,43,598
2,39,750
2,40,744
2,42,739
2,43,761
2,45,766
1,43,462
1,45,483
1,47,532
1,48,527
1,49,489
3,45,560
3,47,516
3,48,538
3,49,511
3,50,522
4,45,799
4,47,783
4,48,783
4,49,777
4,50,804
2,47,777
2,48,783
2,49,766
2,50,815
2,52,831
1,50,554
1,52,581
1,53,603
1,54,603
1,57,625
3,52,522
3,53,462
3,54,451
3,57,424
3,58,424
2,53,788
2,54,842
2,57,821
2,58,848
2,59,880
1,58,609
1,59,674
1,60,701
1,63,706
1,64,728
4,59,723
4,60,728
4,63,766
4,64,761
4,65,766
3,59,440
3,60,413
3,63,424
3,64,380
3,65,413
2,60,908
2,63,913
2,64,935
2,66,897
2,67,924
3,66,402
3,67,402
3,68,402
3,69,369
3,70,353
1,66,728
1,67,723
1,68,799
1,69,783
1,70,793
4,66,772
4,67,777
4,68,739
4,69,701
4,70,739
2,68,940
2,69,924
2,70,973
2,72,967
2,73,957
3,72,353
3,73,402
3,74,342
3,75,364
3,76,353
2,74,940
2,75,951
2,76,951
2,77,984
2,78,946
1,77,837
1,78,821
1,79,821
1,80,842
1,83,880
4,77,723
4,78,712
4,79,701
4,80,647
4,83,636
2,79,951
2,80,967
2,83,967
2,84,924
2,85,913
4,84,581
4,85,587
4,87,587
4,88,576
4,89,511
3,84,418
3,85,418
3,87,402
3,88,386
3,89,445
2,87,891
2,88,946
2,89,902
2,93,875
2,94,880
3,92,445
3,93,489
3,94,500
3,97,511
3,98,538
4,93,554
4,94,511
4,97,489
4,98,418
4,100,445
1,92,864
1,93,870
1,94,902
1,97,908
1,100,929
2,97,853
2,100,897
2,102,831
2,104,864
2,105,831
3,100,554
3,102,587
3,104,549
3,105,543
3,107,522
4,102,440
4,104,396
4,105,440
4,107,451
4,108,396
1,102,908
1,104,891
1,105,897
1,107,902
1,108,886
2,107,886
2,108,853
2,109,891
2,111,831
2,112,859
3,108,576
3,109,587
3,111,609
3,112,603
3,113,641
1,109,918
1,111,913
1,112,918
1,113,946
1,115,924
4,109,386
4,111,429
4,112,380
4,113,380
4,115,358
2,113,837
2,115,848
2,116,826
2,117,826
2,118,831
3,115,619
3,116,636
3,117,636
3,118,636
3,121,723
4,116,369
4,117,402
4,118,353
4,120,364
4,121,402
1,116,951
1,117,962
1,118,946
1,121,962
1,122,989
2,121,842
2,122,842
2,123,864
2,124,831
2,125,853
4,122,358
4,123,418
4,124,435
4,125,440
4,126,473
3,122,734
3,123,734
3,124,712
3,125,766
3,126,788
1,123,1033
1,124,995
1,125,1044
1,126,1038
1,127,1065
2,126,837
2,127,880
2,128,880
2,129,891
2,130,837
4,127,413
4,128,440
4,129,473
4,130,445
4,131,445
3,127,761
3,128,799
3,129,788
3,130,734
3,131,799
1,128,1065
1,129,1033
1,130,1038
1,131,1033
1,133,1076
