0 2 3 5 5 7 9 9 11 12 16 18 19 19 23 22 25 25 26 31 
2 3 3 6 7 7 9 9 11 12 14 17 17 19 20 23 22 25 25 26 
3 5 6 6 8 8 9 10 12 12 14 16 17 17 20 20 23 25 26 26 
5 5 7 8 10 12 12 12 14 14 14 16 16 20 22 22 24 24 26 26 
7 7 7 8 10 12 14 14 16 16 16 17 17 19 22 24 24 26 28 28 
9 8 8 8 10 12 14 14 16 16 17 17 20 22 22 23 24 26 28 30 
10 10 10 10 12 12 14 14 16 18 18 20 19 22 23 23 24 26 28 30 
12 12 12 12 15 14 15 16 16 18 20 20 22 23 24 24 24 26 28 30 
14 14 16 16 16 14 17 16 18 18 20 20 22 24 24 24 26 28 30 31 
16 16 16 17 18 17 18 20 20 20 22 22 22 24 26 26 26 28 29 31 
18 18 18 18 18 18 20 20 22 22 22 24 24 28 28 28 28 28 29 31 
20 20 21 21 20 20 20 22 22 24 24 24 26 26 28 29 29 29 29 31 
20 23 23 21 22 22 22 22 24 24 26 26 28 28 28 29 31 31 31 33 
23 23 23 23 24 24 24 25 24 26 26 26 28 30 32 32 33 37 34 34 
25 25 25 24 24 26 26 25 26 26 27 28 29 31 31 32 34 34 36 36 
27 27 27 26 26 27 27 27 27 27 27 28 28 31 32 32 34 36 36 38 
28 28 28 29 30 29 30 30 29 28 28 28 30 30 31 33 34 36 36 38 
28 30 30 30 30 31 31 30 30 30 30 30 31 31 31 33 34 36 38 40 
30 30 30 32 32 32 31 31 32 32 32 32 32 33 34 36 34 36 38 40 
32 32 32 32 34 32 32 32 34 34 34 33 33 33 35 36 36 36 38 40 
