0 7 9 13 14 18 31 31 33 35 37 41 43 44 44 46 48 53 55 58 
7 10 12 14 18 20 23 23 31 32 35 39 40 43 44 44 46 48 54 56 
10 13 12 14 19 19 20 21 31 32 37 37 38 40 42 44 46 50 56 58 
14 15 14 14 17 21 21 23 29 32 32 34 36 39 40 42 44 46 57 59 
15 17 17 17 19 19 21 22 29 29 32 34 36 38 40 42 44 50 53 57 
17 19 21 20 21 23 24 24 24 29 31 33 36 38 42 45 46 48 50 55 
19 25 25 25 23 27 26 28 26 28 31 32 34 36 40 40 44 48 53 54 
21 24 25 25 25 29 30 28 29 28 31 34 37 36 38 42 45 47 49 54 
24 24 26 29 35 30 30 29 29 33 34 35 36 38 42 45 45 47 49 51 
27 27 28 28 32 33 33 31 36 34 36 35 38 42 43 47 55 49 51 53 
30 29 29 30 32 36 34 34 38 36 38 38 38 40 42 44 48 49 51 53 
33 30 30 32 34 34 36 40 38 44 42 44 44 46 44 44 46 51 53 62 
43 35 32 35 38 36 38 40 40 42 44 44 45 47 46 46 48 53 53 59 
41 39 35 38 42 38 40 42 44 42 49 50 47 47 47 47 53 57 59 62 
43 41 44 42 42 44 44 46 46 44 46 50 50 49 51 49 51 57 60 62 
47 47 47 44 44 47 47 48 50 48 49 51 55 51 53 51 61 61 61 61 
51 51 49 48 46 50 52 50 50 50 51 52 56 53 55 53 60 58 61 61 
53 52 51 49 50 53 54 52 52 52 52 56 60 58 56 55 55 60 62 62 
54 53 51 49 50 51 54 54 59 59 56 58 59 59 59 57 60 58 61 60 
60 54 53 51 51 51 53 55 58 59 58 58 61 60 62 59 61 66 64 62 
