0 2 2 2 4 4 6 6 8 8 10 10 12 12 14 14 15 16 15 18 
2 2 4 4 4 4 6 6 8 8 10 10 12 12 14 14 14 15 15 16 
2 2 4 4 4 6 6 6 8 8 10 10 10 12 12 14 14 15 15 18 
4 2 4 4 6 6 6 8 8 8 10 10 12 12 14 14 14 15 15 15 
4 4 4 6 6 6 6 8 8 8 10 10 12 12 13 13 15 15 15 16 
6 4 6 6 6 6 8 8 10 10 10 12 12 12 13 15 14 16 16 16 
4 4 6 6 6 8 8 10 10 10 10 12 12 13 14 14 16 15 16 18 
6 6 6 7 8 8 8 8 10 10 10 12 12 13 13 15 15 16 16 16 
7 6 6 8 8 8 10 10 10 12 12 12 12 13 15 15 15 16 16 18 
7 8 8 8 8 10 10 12 12 12 12 12 13 14 15 15 15 16 16 17 
9 8 10 8 10 10 10 11 10 12 12 13 13 13 14 15 16 17 17 17 
8 9 8 8 10 10 10 12 12 12 12 13 14 15 15 17 15 17 17 17 
9 9 10 10 10 10 11 12 12 13 13 13 15 15 16 15 17 17 17 19 
11 10 10 10 11 11 12 12 13 12 14 13 14 15 15 16 17 17 19 19 
10 10 12 12 12 12 12 13 13 13 14 14 15 16 15 17 17 18 17 19 
12 12 12 12 12 13 13 14 13 13 14 14 15 16 17 17 17 18 18 19 
14 14 14 14 12 13 13 13 14 14 14 14 16 16 16 17 17 18 18 18 
12 14 14 14 14 14 13 14 14 14 14 14 16 16 17 17 17 18 18 19 
14 15 14 16 14 14 14 14 16 14 16 16 16 17 17 17 18 19 19 19 
16 16 14 16 14 16 14 15 16 16 16 16 16 16 17 17 18 19 19 21 
